How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you currently have a mental health disorder?,Have you had a mental health disorder in the past?,Do you have a family history of mental illness?,How willing would you be to share with friends and family that you have a mental illness?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Why or why not?.1,What is your age?,What is your gender?
100-500,0.0,No,I don't know,None did,"Yes, always",Yes,Yes,Yes,Somewhat open,Yes,Because they should know up front and it is illegal for them to not hire someone because of a physical impairment or issue,I wouldn't unless it was an obvious issue. ,32.0,Male 
1-5,1.0,No,I don't know,None did,I don't know,No,No,No,Neutral,No,denial of job oportunity,denial of job,29.0,male
More than 1000,1.0,I don't know,I don't know,None did,I don't know,No,No,No,Somewhat open,No,I don't feel that its relevant to my getting hired,I don't feel like it's relevant to getting hired,20.0,Male
More than 1000,0.0,Yes,Yes,I don't know,I don't know,Maybe,Maybe,Yes,Somewhat open,Yes,It wouldn't have a bearing on my employability.,I feel it could have a bearing on if I got an offer of employment even though it is illegal to discriminate based on mental health issues. ,41.0,male
6-25,1.0,Yes,Yes,Some did,"Yes, always",Yes,Yes,Yes,Somewhat open,Maybe,I'm not sure it's relevant. I don't want to overshare my personal life at a job interview.,"Definitely not, because I wouldn't want them to discount my ability to do the job well and mental health has much more stigma around it than a physical problem.",33.0,female
26-100,1.0,No,I don't know,Some did,I don't know,Maybe,Yes,Yes,Very open,Yes,Fear of discrimination,Stigma,25.0,male
More than 1000,1.0,No,I don't know,Some did,I don't know,No,Maybe,I don't know,Not applicable to me (I do not have a mental illness),No,I don't see it as being relevent,I don't see it as being relevent,29.0,male
More than 1000,1.0,Yes,Yes,None did,No,Yes,Yes,Yes,Very open,Yes,To ensure I received proper accommodations if they were needed,"Telling  someone that's interviewing me that I have clinical depression, generalized anxiety disorder, PTSD, autism spectrum disorder, and ADD would bring a lot of stigma. I doubt they'd think I could handle the job, or they'd think I couldn't work well on a team. 

The trust hasn't been built yet. Maybe if the company was really upfront about caring about mental illness, and had people in leadership with mental illnesses, then I'd probably feel comfortable speaking about them during the interview.",24.0,Genderflux demi-girl
100-500,1.0,No,I don't know,Some did,I don't know,Yes,Yes,No,Somewhat open,No,I don't feel it could help my chances in any way and could hurt my chances,Same reason,39.0,Male
500-1000,0.0,Yes,Yes,None did,I don't know,No,No,Yes,Somewhat open,Yes,I would feel it important that a potential employer know of any limitations I may have in being able to do the job,I would consider it something private that I would manage privately.,39.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,No,Maybe,I don't know,Very open,Maybe,It's unlikely to be any of the prospective employer's business.,It's unlikely to be any of the prospective employer's business or to affect my performance as an employee.,44.0,Man
More than 1000,1.0,No,I don't know,None did,No,Yes,Yes,Yes,Somewhat not open,Maybe,I would be afraid of being excluded from consideration due to my occasional back problems. I would only bring it up if it directly impacted the job,"So while this could definitely directly impact my ability to do the job, I would be really afraid to mention it to interviewers. I'm sure there are situations where i might mention it, but in the abstract, I wouldn't bring it up (my mental image of interviewers is kinda veering toward matrix looking fellas in suits)",30.0,female
6-25,1.0,No,I don't know,None did,I don't know,No,No,Yes,Neutral,Maybe,"Haven't been in that situation, so I really don't know",Stigma,31.0,male
1-5,1.0,Yes,Yes,None did,I don't know,Yes,Yes,Yes,Somewhat open,Yes,Fear of discrimination,Stigma,37.0,Male
6-25,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Very open,Yes,If it required hospital treatment or medication. Only feels right they should be aware. ,Based on my current employer. They would just see as a reason to take leave or that they cannot push you to the limits it companies like to do for little thanks.,42.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Maybe,Maybe,I don't know,Somewhat not open,Maybe,"I would only bring up the issue if necessary, if it obviously affected my work or I required special assistance.","I would only do this if necessary, if it was an obvious mental health issue, if I appeared normal I would not bring it up.",35.0,Male
26-100,0.0,No,I don't know,None did,I don't know,No,Yes,Yes,Somewhat not open,No,Fear of discrimination,Stigma,30.0,M
More than 1000,1.0,No,I don't know,None did,I don't know,No,No,No,Somewhat not open,No,Fear of failing interview,Fear of failing the interview,30.0,male
26-100,1.0,No,I don't know,Some did,Sometimes,Yes,Yes,Yes,Somewhat not open,Yes,"If it's obvious, I would have to prove I can do the job.","If they don't have to know, there's no possible way it can impact their hiring decision",33.0,Male
More than 1000,0.0,I don't know,I don't know,I don't know,I don't know,Maybe,No,I don't know,Very open,Yes,Because it may have some significant impact on my performance if I am not accomodated accordingly.,Because it may have some significant impact on my performance if I am not accomodated accordingly.,31.0,Male
More than 1000,0.0,No,Yes,Some did,"Yes, always",Yes,Yes,Yes,Somewhat open,No,Fear of discrimination,Stigma,39.0,Female
26-100,0.0,No,Yes,None did,I don't know,No,No,No,Somewhat open,Maybe,Fear of discrimination,Stigma,27.0,m
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,No,Somewhat not open,Maybe,It depends if it was relevant to my work,I believe it would impact me negatively,34.0,male
6-25,1.0,No,I don't know,None did,I don't know,No,No,No,Somewhat open,Yes,"If it will directly impact my ability to perform my duties on some days, then it's only fair to be honest about it.","Same as the physical. If it would impact my performance, it's only fair to be honest about it.",31.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Very open,Maybe,I would be concerned that it would affect my chance of getting the job.,I would be concerned that it would affect my chance of getting the job.,30.0,Female
26-100,1.0,Yes,Yes,None did,"Yes, always",Yes,Yes,Yes,Somewhat not open,Maybe,I would avoid it as much as possible to put myself in the best possible light.,Would expect not to be hired if honest about mental health issues,34.0,male
6-25,1.0,No,I don't know,None did,I don't know,Maybe,Maybe,I don't know,Somewhat not open,Maybe,Fear that I would not make it through the interview process. Would tell after being hired.,Fear of not making it through interview process due to stigma.,20.0,female-bodied; no feelings about gender
More than 1000,1.0,No,I don't know,None did,No,Yes,Yes,Yes,Very open,Maybe,It depends on the impact I expected doing so would have.,"I've been on Disability (SSDI) for Bipolar for 6 years now and if I'm ever able to interview again, I'll need to honestly explain the chasm in my resume. I'd also need to seek employment where my disorder can be understood and accepted at the outset.",39.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Maybe,Yes,Yes,Not open at all,Maybe,To be upfront in case the ADA Act were to apply to my employment there.,"That is not something I would be open about unless I felt it was safe to do so, and I could not determine that during the short amount of time of an interview.",50.0,female
1-5,0.0,No,No,None did,I don't know,Yes,No,Yes,Not open at all,No,Fear of discrimination,Stigma,22.0,Male
100-500,1.0,No,I don't know,None did,I don't know,Maybe,Maybe,I don't know,Somewhat open,No,Not needed,Personal issue,41.0,Male
26-100,1.0,No,I don't know,I don't know,I don't know,Maybe,No,No,Neutral,No,in order to keep a normal image of myself,see above,37.0,male
100-500,1.0,Yes,Yes,Some did,"Yes, always",Yes,Yes,Yes,Somewhat not open,Maybe,Fear that it would affect my chances of getting hired.,Same reason.,32.0,m
More than 1000,1.0,No,I don't know,Some did,I don't know,Maybe,Yes,Yes,Very open,Yes,my work does not involve physical labor so it doesn't matter and it's private,Because they need to know in order to provide me with what I need and to better understand my behaviour ,26.0,M
6-25,1.0,Yes,Yes,None did,I don't know,Yes,Maybe,Yes,Very open,Maybe,"If I really need the job, I wouldn't take the risk. If I'm just looking for a better job, I would tell, because it's not a better job if they reject me for it.",Same as physical,38.0,M
More than 1000,1.0,No,I don't know,None did,I don't know,Maybe,No,Yes,Not open at all,Maybe,Fear of discrimination,Stigma,21.0,Male
6-25,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,Maybe,Fear of discrimination,Stigma,27.0,Male
1-5,0.0,No,No,None did,No,Yes,Yes,Yes,Somewhat not open,No,"Who's going to hire a ""head case""?","The goal is to get hired, not tossed in the bin.",37.0,f
More than 1000,1.0,No,I don't know,None did,No,Maybe,Yes,I don't know,Neutral,Yes,It is expected and covered standard HR best practice. Plus legal and social obligations are clear to all.  ,Shows weakness and changes social situation. Interview fails. ,45.0,male
More than 1000,1.0,No,I don't know,None did,I don't know,No,No,No,Not applicable to me (I do not have a mental illness),Yes,Set expectations appropriately.,Set expectations appropriately.,26.0,Male
6-25,0.0,No,I don't know,Some did,Sometimes,Maybe,Maybe,Yes,Somewhat open,No,I would be worried that the employer would consider the problem a liability,I would be worried that the employer would consider the problem a liability,30.0,Female
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Very open,Yes,Fear of discrimination,Stigma,21.0,Male
More than 1000,0.0,No,I don't know,Some did,I don't know,Maybe,Yes,I don't know,Somewhat not open,Yes,Fear of discrimination,Stigma,21.0,male
More than 1000,1.0,No,I don't know,Some did,I don't know,No,No,No,Somewhat open,Yes,Shouldn't be an issue as long as it does not impact the tasks that I'm interviewing for.,"Theoretical, since I'm currently fortunate enough to not suffer a mental illness: If the question comes up or I am aware that this would severely deteriorate the future work atmosphere if people don't know in advance.",29.0,male
More than 1000,0.0,Yes,Yes,None did,I don't know,No,No,No,Somewhat open,Yes,If it would affect my ability to do the work I believe it would be relevant,stigma,46.0,male
500-1000,1.0,Yes,I don't know,None did,I don't know,Yes,Yes,Yes,Very open,Yes,"I've previously been punished for taking care of my physical health after a bike accident. I do not want to be in that situation again, so I would bring up any issues I had while interviewing.",Many people still disbelieve that adult ADHD is a thing — if I suspected a  potential employer had problems I might try to suss them out before taking a job.,28.0,cis man
100-500,0.0,No,Yes,None did,No,Yes,Yes,Yes,Somewhat not open,No,You cannot enforce respect for any group of individuals. Every place I have worked care about performance and social integration. ,"It is illegal to not hire someone for having a mental disorder, but it is perfectly legal, from what I understand,  to not hire them for indirect effects of their disorder. I would not have gotten my current job if I briught up my mental illnesses. ",26.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,Maybe,If it were to impact my day-to-day job I would bring it up in the discussion. Otherwise I would wait to see how the environment of the company was about accepting less than perfect.,"It's instantly seen as a weakness, and then also an issue with your own mental state to discuss that weakness.",37.0,Female
More than 1000,1.0,I don't know,Yes,I don't know,I don't know,No,No,No,Not applicable to me (I do not have a mental illness),Maybe,If I felt the issue would not interfere with my performance I would not bring it up. ,Without knowing the employer's stance in mental health issues I would be reluctant to do anything that might jeopardize the interview. ,44.0,Male
